"bucket","qty","cluster","month","predicted"
240,583,1,5,2
0,50,1,6,36
15,1193,1,6,199
30,1091,1,6,550
45,823,1,6,1014
60,1992,1,6,1402
75,624,1,6,1551
90,727,1,6,1430
105,224,1,6,1130
120,1141,1,6,781
135,90,1,6,480
150,151,1,6,266
165,54,1,6,134
180,356,1,6,62
195,25,1,6,26
210,46,1,6,10
225,22,1,6,4
240,468,1,6,1
0,60,1,7,44
15,1135,1,7,230
30,1055,1,7,601
45,805,1,7,1045
60,1935,1,7,1362
75,486,1,7,1422
90,673,1,7,1236
105,163,1,7,921
120,1011,1,7,601
135,53,1,7,348
150,88,1,7,182
165,23,1,7,86
180,223,1,7,37
195,16,1,7,15
210,22,1,7,6
225,6,1,7,2
240,385,1,7,1
0,68,1,8,45
15,1229,1,8,239
30,1128,1,8,633
45,885,1,8,1118
60,2080,1,8,1482
75,576,1,8,1571
90,739,1,8,1388
105,249,1,8,1051
120,1105,1,8,697
135,70,1,8,410
150,107,1,8,218
165,28,1,8,105
180,239,1,8,46
195,20,1,8,19
210,32,1,8,7
225,26,1,8,3
240,452,1,8,1
0,71,1,9,21
15,1229,1,9,127
30,1113,1,9,394
45,880,1,9,810
60,2050,1,9,1252
75,584,1,9,1546
90,754,1,9,1592
105,290,1,9,1405
120,1174,1,9,1085
135,148,1,9,745
150,195,1,9,460
165,76,1,9,258
180,380,1,9,133
195,62,1,9,63
210,65,1,9,28
225,28,1,9,11
240,839,1,9,4
0,54,1,10,26
15,1306,1,10,154
30,1179,1,10,458
45,878,1,10,910
60,2062,1,10,1356
75,592,1,10,1616
90,816,1,10,1604
105,278,1,10,1366
120,1205,1,10,1017
135,159,1,10,673
150,151,1,10,401
165,68,1,10,217
180,335,1,10,108
195,58,1,10,49
210,58,1,10,21
225,25,1,10,8
240,766,1,10,3
0,56,1,11,26
15,1053,1,11,151
30,932,1,11,436
45,739,1,11,839
60,1926,1,11,1212
75,523,1,11,1400
90,702,1,11,1348
105,234,1,11,1113
120,1096,1,11,803
135,104,1,11,516
150,131,1,11,298
165,50,1,11,156
180,281,1,11,75
195,33,1,11,33
210,46,1,11,14
225,24,1,11,5
240,498,1,11,2
0,48,1,12,23
15,1052,1,12,137
30,942,1,12,404
45,724,1,12,791
60,1802,1,12,1162
75,506,1,12,1365
90,711,1,12,1337
105,214,1,12,1123
120,1147,1,12,825
135,77,1,12,538
150,122,1,12,316
165,34,1,12,169
180,312,1,12,83
195,29,1,12,37
210,29,1,12,16
225,12,1,12,6
240,575,1,12,2
0,237,2,0,399
15,11791,2,0,2085
30,10457,2,0,5442
45,6282,2,0,9469
60,14331,2,0,12357
75,3859,2,0,12901
90,4968,2,0,11225
105,1994,2,0,8371
120,12232,2,0,5462
135,581,2,0,3168
150,787,2,0,1654
165,299,2,0,785
180,2096,2,0,341
195,227,2,0,137
210,330,2,0,51
225,125,2,0,18
240,3277,2,0,6
0,9,2,1,35
15,758,2,1,169
30,615,2,1,405
45,354,2,1,644
60,842,2,1,769
75,198,2,1,735
90,294,2,1,585
105,112,2,1,399
120,756,2,1,239
135,25,2,1,127
150,29,2,1,60
165,15,2,1,26
180,77,2,1,10
195,4,2,1,4
210,6,2,1,1
225,2,2,1,0
240,115,2,1,0
0,25,2,2,44
15,1063,2,2,217
30,926,2,2,542
45,525,2,2,902
60,1218,2,2,1126
75,366,2,2,1124
90,452,2,2,935
105,181,2,2,667
120,1078,2,2,416
135,55,2,2,231
150,72,2,2,115
165,13,2,2,52
180,161,2,2,22
195,19,2,2,8
210,21,2,2,3
225,15,2,2,1
240,216,2,2,0
0,15,2,3,41
15,948,2,3,203
30,815,2,3,500
45,493,2,3,820
60,1166,2,3,1008
75,334,2,3,991
90,401,2,3,812
105,144,2,3,571
120,831,2,3,351
135,41,2,3,192
150,56,2,3,94
165,14,2,3,42
180,142,2,3,17
195,17,2,3,7
210,27,2,3,2
225,8,2,3,1
240,200,2,3,0
0,17,2,4,35
15,1172,2,4,184
30,1045,2,4,486
45,584,2,4,856
60,1297,2,4,1131
75,319,2,4,1195
90,412,2,4,1053
105,164,2,4,795
120,1007,2,4,525
135,52,2,4,308
150,81,2,4,163
165,34,2,4,78
180,234,2,4,34
195,23,2,4,14
210,46,2,4,5
225,10,2,4,2
240,367,2,4,1
0,18,2,5,35
15,1098,2,5,185
30,994,2,5,490
45,609,2,5,864
60,1431,2,5,1142
75,370,2,5,1208
90,415,2,5,1064
105,163,2,5,804
120,1046,2,5,531
135,50,2,5,312
150,60,2,5,165
165,26,2,5,79
180,216,2,5,35
195,31,2,5,14
210,38,2,5,5
225,8,2,5,2
240,364,2,5,1
0,21,2,6,39
15,1048,2,6,198
30,983,2,6,506
45,563,2,6,862
60,1301,2,6,1102
75,331,2,6,1127
90,403,2,6,960
105,149,2,6,701
120,958,2,6,448
135,43,2,6,254
150,54,2,6,130
165,35,2,6,60
180,178,2,6,26
195,28,2,6,10
210,39,2,6,4
225,12,2,6,1
240,282,2,6,0
0,22,2,7,30
15,1025,2,7,159
30,978,2,7,427
45,578,2,7,766
60,1201,2,7,1030
75,307,2,7,1109
90,439,2,7,994
105,173,2,7,764
120,920,2,7,514
135,55,2,7,307
150,76,2,7,165
165,39,2,7,81
180,176,2,7,36
195,14,2,7,15
210,27,2,7,6
225,11,2,7,2
240,365,2,7,1
0,25,2,8,33
15,1118,2,8,178
30,953,2,8,477
45,564,2,8,853
60,1364,2,8,1144
75,373,2,8,1227
90,461,2,8,1097
105,186,2,8,840
120,1207,2,8,563
135,67,2,8,336
150,84,2,8,180
165,36,2,8,88
180,214,2,8,39
195,22,2,8,16
210,31,2,8,6
225,17,2,8,2
240,360,2,8,1
0,18,2,9,30
15,977,2,9,158
30,816,2,9,420
45,506,2,9,746
60,1188,2,9,994
75,306,2,9,1059
90,404,2,9,941
105,181,2,9,716
120,1012,2,9,477
135,49,2,9,282
150,84,2,9,151
165,23,2,9,73
180,179,2,9,32
195,16,2,9,13
210,25,2,9,5
225,13,2,9,2
240,303,2,9,1
0,20,2,10,33
15,989,2,10,175
30,853,2,10,459
45,561,2,10,805
60,1206,2,10,1057
75,354,2,10,1111
90,442,2,10,973
105,169,2,10,730
120,1108,2,10,480
135,52,2,10,280
150,71,2,10,147
165,24,2,10,70
180,194,2,10,31
195,19,2,10,12
210,28,2,10,5
225,10,2,10,2
240,271,2,10,1
0,25,2,11,24
15,762,2,11,129
