"cluster","month","tod","dotw","ave_occupancy","dotw_string"
"2",9,"Midday",2,0.0482473544973545,"Monday"
"2",9,"Midday",3,0.11013282627866,"Tuesday"
"2",9,"Midday",4,0.355255180776014,"Wednesday"
"2",9,"Midday",5,0.0896852954144621,"Thursday"
"2",9,"Midday",6,0.147321428571429,"Friday"
"2",9,"Midday",7,0.326099537037037,"Saturday"
"2",9,"Morning",2,0.0405092592592593,"Monday"
"2",9,"Morning",3,0.0599371693121693,"Tuesday"
"2",9,"Morning",4,0.181781856261023,"Wednesday"
"2",9,"Morning",5,0.0503747795414462,"Thursday"
"2",9,"Morning",6,0.0881558641975309,"Friday"
"2",9,"Morning",7,0.0976080246913581,"Saturday"
"2",10,"Afternoon",2,0.0322110615079365,"Monday"
"2",10,"Afternoon",3,0.0607142857142857,"Tuesday"
"2",10,"Afternoon",4,0.147709986772487,"Wednesday"
"2",10,"Afternoon",5,0.0835896164021164,"Thursday"
"2",10,"Afternoon",6,0.261677414021164,"Friday"
"2",10,"Afternoon",7,0.407500413359788,"Saturday"
"2",10,"Midday",2,0.0305886243386244,"Monday"
"2",10,"Midday",3,0.103119488536155,"Tuesday"
"2",10,"Midday",4,0.156558641975309,"Wednesday"
"2",10,"Midday",5,0.105268959435626,"Thursday"
"2",10,"Midday",6,0.189070767195767,"Friday"
"2",10,"Midday",7,0.481357473544974,"Saturday"
"2",10,"Morning",2,0.0290316358024692,"Monday"
"2",10,"Morning",3,0.0532958553791888,"Tuesday"
"2",10,"Morning",4,0.0739638447971782,"Wednesday"
"2",10,"Morning",5,0.06875,"Thursday"
"2",10,"Morning",6,0.100570436507937,"Friday"
"2",10,"Morning",7,0.189842372134039,"Saturday"
"2",11,"Afternoon",2,0.0398582175925926,"Monday"
"2",11,"Afternoon",3,0.0721106150793651,"Tuesday"
"2",11,"Afternoon",4,0.0894097222222223,"Wednesday"
"2",11,"Afternoon",5,0.0789310515873016,"Thursday"
"2",11,"Afternoon",6,0.175603505291005,"Friday"
"2",11,"Afternoon",7,0.503290343915344,"Saturday"
"2",11,"Midday",2,0.0471643518518519,"Monday"
"2",11,"Midday",3,0.0976080246913581,"Tuesday"
"2",11,"Midday",4,0.0908702601410935,"Wednesday"
"2",11,"Midday",5,0.0770916005291006,"Thursday"
"2",11,"Midday",6,0.209611992945326,"Friday"
"2",11,"Midday",7,0.401785714285714,"Saturday"
"2",11,"Morning",2,0.0304095017636684,"Monday"
"2",11,"Morning",3,0.0536265432098766,"Tuesday"
"2",11,"Morning",4,0.0515321869488536,"Wednesday"
"2",11,"Morning",5,0.0414462081128748,"Thursday"
"2",11,"Morning",6,0.132627865961199,"Friday"
"2",11,"Morning",7,0.135637125220459,"Saturday"
"2",12,"Afternoon",2,0.152645502645503,"Monday"
"2",12,"Afternoon",3,0.11379794973545,"Tuesday"
"2",12,"Afternoon",4,0.114417989417989,"Wednesday"
"2",12,"Afternoon",5,0.129660631613757,"Thursday"
"2",12,"Afternoon",6,0.255735367063492,"Friday"
"2",12,"Afternoon",7,0.417503720238095,"Saturday"
"2",12,"Midday",2,0.0981701940035274,"Monday"
"2",12,"Midday",3,0.164969135802469,"Tuesday"
"2",12,"Midday",4,0.154927248677249,"Wednesday"
"2",12,"Midday",5,0.0964919532627867,"Thursday"
"2",12,"Midday",6,0.114872685185185,"Friday"
"2",12,"Midday",7,0.356770833333333,"Saturday"
"2",12,"Morning",2,0.0492724867724868,"Monday"
"2",12,"Morning",3,0.112070105820106,"Tuesday"
"2",12,"Morning",4,0.125523589065256,"Wednesday"
"2",12,"Morning",5,0.0520557760141094,"Thursday"
"2",12,"Morning",6,0.0525931437389771,"Friday"
"2",12,"Morning",7,0.171723434744268,"Saturday"
"3",1,"Afternoon",2,0.102075038172422,"Monday"
"3",1,"Afternoon",3,0.205982426004228,"Tuesday"
"3",1,"Afternoon",4,0.201582404191416,"Wednesday"
"3",1,"Afternoon",5,0.180693104739253,"Thursday"
"3",1,"Afternoon",6,0.177229350712272,"Friday"
"3",1,"Afternoon",7,0.0276260843484681,"Saturday"
"3",1,"Midday",2,0.199664264460776,"Monday"
"3",1,"Midday",3,0.33739945132387,"Tuesday"
"3",1,"Midday",4,0.35867350134792,"Wednesday"
"3",1,"Midday",5,0.333880069381523,"Thursday"
"3",1,"Midday",6,0.317351166006689,"Friday"
"3",1,"Midday",7,0.0708089512231954,"Saturday"
"3",1,"Morning",2,0.147697923308388,"Monday"
"3",1,"Morning",3,0.275888424667494,"Tuesday"
"3",1,"Morning",4,0.291262332628612,"Wednesday"
"3",1,"Morning",5,0.268726719017417,"Thursday"
"3",1,"Morning",6,0.273368076529414,"Friday"
"3",1,"Morning",7,0.0901423740449903,"Saturday"
"3",2,"Afternoon",2,0.173660924024296,"Monday"
"3",2,"Afternoon",3,0.212025466458606,"Tuesday"
"3",2,"Afternoon",4,0.273234617248062,"Wednesday"
"3",2,"Afternoon",5,0.205738091043324,"Thursday"
"3",2,"Afternoon",6,0.192606701881775,"Friday"
"3",2,"Afternoon",7,0.0409765480804725,"Saturday"
"3",2,"Midday",2,0.324719492125015,"Monday"
"3",2,"Midday",3,0.366045333596206,"Tuesday"
"3",2,"Midday",4,0.355018729655358,"Wednesday"
"3",2,"Midday",5,0.347113200107386,"Thursday"
"3",2,"Midday",6,0.358576105741803,"Friday"
"3",2,"Midday",7,0.0928700767363558,"Saturday"
"3",2,"Morning",2,0.237238455988456,"Monday"
"3",2,"Morning",3,0.326416137426312,"Tuesday"
"3",2,"Morning",4,0.302135033893755,"Wednesday"
"3",2,"Morning",5,0.27456651229907,"Thursday"
"3",2,"Morning",6,0.307883286771368,"Friday"
"3",2,"Morning",7,0.111447042406345,"Saturday"
"3",3,"Afternoon",2,0.166233097692037,"Monday"
"3",3,"Afternoon",3,0.17128185929058,"Tuesday"
"3",3,"Afternoon",4,0.165292197305279,"Wednesday"
"3",3,"Afternoon",5,0.171423157551428,"Thursday"
"3",3,"Afternoon",6,0.175210357310648,"Friday"
"3",3,"Afternoon",7,0.0267368032484312,"Saturday"
"3",3,"Midday",2,0.302814814115686,"Monday"
"3",3,"Midday",3,0.261712029626274,"Tuesday"
"3",3,"Midday",4,0.241381264891439,"Wednesday"
"3",3,"Midday",5,0.250654489244605,"Thursday"
"3",3,"Midday",6,0.298811788986208,"Friday"
"3",3,"Midday",7,0.0901545493696657,"Saturday"
"3",3,"Morning",2,0.207643450703044,"Monday"
"3",3,"Morning",3,0.249636453124825,"Tuesday"
"3",3,"Morning",4,0.225985456726736,"Wednesday"
"3",3,"Morning",5,0.216529200504491,"Thursday"
"3",3,"Morning",6,0.243507584147119,"Friday"
"3",3,"Morning",7,0.0956467918386523,"Saturday"
"3",4,"Afternoon",2,0.188014069264069,"Monday"
"3",4,"Afternoon",3,0.213692657471727,"Tuesday"
"3",4,"Afternoon",4,0.228374523369073,"Wednesday"
"3",4,"Afternoon",5,0.19742943083241,"Thursday"
"3",4,"Afternoon",6,0.179528387068358,"Friday"
"3",4,"Afternoon",7,0.0403213247508306,"Saturday"
"3",4,"Midday",2,0.340839401769634,"Monday"
"3",4,"Midday",3,0.371130393078067,"Tuesday"
"3",4,"Midday",4,0.360356454215466,"Wednesday"
"3",4,"Midday",5,0.329031962062485,"Thursday"
"3",4,"Midday",6,0.350875903274159,"Friday"
