"cluster","month","day","ave_occupancy","predicted"
3,11,7,0.243970076908907,0.241359838816626
3,11,8,0.231639073101839,0.232199346407755
3,11,9,0.100158576647938,0.067594198060117
3,11,11,0,0.221043356854627
3,11,12,0.292951206594824,0.260993581824387
3,11,13,0.27713418378312,0.252156800301968
3,11,14,0.230446390193731,0.241359838816626
3,11,15,0.264078724171809,0.232199346407755
3,11,16,0.0645006293942464,0.067594198060117
3,11,18,0.290516698136379,0.221043356854627
3,11,19,0.255978727242025,0.260993581824387
3,11,20,0.249396990420927,0.252156800301968
3,11,21,0.238057493629302,0.241359838816626
3,11,22,0.227975979398852,0.232199346407755
3,11,23,0.123920991833226,0.067594198060117
3,11,25,0.293473507875104,0.221043356854627
3,11,26,0.291053122409505,0.260993581824387
3,11,27,0.211794330078905,0.252156800301968
3,11,28,0,0.241359838816626
3,11,29,0.0661556484295846,0.232199346407755
3,11,30,0.0386121664978048,0.067594198060117
3,12,2,0.269744769119769,0.221043356854627
3,12,3,0.264381600964048,0.260993581824387
3,12,4,0.267668497282859,0.252156800301968
3,12,5,0.260781523441098,0.241359838816626
3,12,6,0.203520002456173,0.232199346407755
3,12,7,0.0607272957538915,0.067594198060117
3,12,9,0.276369201129839,0.221043356854627
3,12,10,0.281050052193669,0.260993581824387
3,12,11,0.235758707899665,0.252156800301968
3,12,12,0.23908751266464,0.241359838816626
3,12,13,0.24003354210801,0.232199346407755
3,12,14,0.138120356298548,0.067594198060117
3,12,16,0.248966008872924,0.221043356854627
3,12,17,0.28956840440883,0.260993581824387
3,12,18,0.269767085751128,0.252156800301968
3,12,19,0.265802688741519,0.241359838816626
3,12,20,0.259641533112278,0.232199346407755
3,12,21,0.0451407885849375,0.067594198060117
3,12,23,0.161391901538178,0.221043356854627
3,12,24,0.0398454913880446,0.260993581824387
3,12,25,0,0.252156800301968
3,12,26,0.128371672653588,0.241359838816626
3,12,27,0.150555114212029,0.232199346407755
3,12,28,0.0329357211936999,0.067594198060117
3,12,30,0.158271065518406,0.221043356854627
3,12,31,0.0647606958644193,0.260993581824387
4,1,1,0.00424986721741837,0.350370580987668
4,1,2,0.376025875181468,0.395771269653739
4,1,3,0.392703556136236,0.398408958586762
4,1,4,0.376085175184202,0.396350222641623
4,1,5,0.443075921239122,0.46715699917982
4,1,6,0.45397528638833,0.490536873931167
4,1,8,0.26883064956457,0.350370580987668
4,1,9,0.404844787682832,0.395771269653739
4,1,10,0.38555978737388,0.398408958586762
4,1,11,0.290382144775813,0.396350222641623
4,1,12,0.415667730479364,0.46715699917982
4,1,13,0.457442664493142,0.490536873931167
4,1,15,0,0.350370580987668
4,1,16,0.385769400112218,0.395771269653739
4,1,17,0.449318207660476,0.398408958586762
4,1,18,0.372742223725014,0.396350222641623
4,1,19,0.477370937718901,0.46715699917982
4,1,20,0.492222814555365,0.490536873931167
4,1,22,0.407072210750978,0.350370580987668
4,1,23,0.387676471572608,0.395771269653739
